,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1570,5378,2019-01-06 00:00:00.000000,2019-01-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1571,5383,2018-12-16 00:00:00.000000,2019-06-14 00:00:00.000000,181,121,1.0,*,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CT
1572,5385,2019-05-21 00:00:00.000000,2019-05-21 00:00:00.000000,1,1,1.0,254.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1573,5391,2019-05-23 00:00:00.000000,2019-05-23 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1574,5397,2019-05-17 00:00:00.000000,2019-05-17 00:00:00.000000,1,1,2.0,86.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1575,5398,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,2.0,86.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1576,5405,2019-06-06 00:00:00.000000,2019-06-06 00:00:00.000000,1,1,2.0,86.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1577,5409,2018-06-21 00:00:00.000000,2019-06-15 00:00:00.000000,360,126,1.0,*,133.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1578,5415,2019-05-26 00:00:00.000000,2019-05-26 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1579,5423,2018-07-31 00:00:00.000000,2019-05-31 00:00:00.000000,305,26,1.0,*,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1580,5431,2019-01-30 00:00:00.000000,2019-06-15 00:00:00.000000,137,93,*,*,133.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CE
1581,5433,2017-01-06 00:00:00.000000,2019-12-06 00:00:00.000000,742,384,*,*,*,8,5,1,3,12,5,0,0,6,0,6,0,0,21,2,0,0,3,ITA,FI
